PT	AU	BA	CA	GP	RI	OI	BE	Z2	TI	X1	Y1	Z1	FT	PN	AE	Z3	SO	S1	SE	BS	VL	IS	SI	MA	BP	EP	AR	DI	D2	EA	SU	PD	PY	AB	X4	Y4	Z4	AK	CT	CY	SP	CL	TC	Z8	ZR	ZA	ZB	ZS	Z9	U1	U2	SN	EI	BN	UT	PM	
J	Nissen, Mette; Ikaheimo, Tiina-Mari; Huttunen, Jukka; Leinonen, Ville; Jyrkkanen, Henna-Kaisa; Zu Fraunberg, Mikael von Und								Gabapentinoids Associated With Lower Explantation Rate in 203 Patients With Spinal Cord Stimulation for Failed Back Surgery Syndrome								NEUROSURGERY				89	4			626	634		10.1093/neuros/nyab242		JUL 2021		OCT 2021	2021	BACKGROUND: Spinal cord stimulation (SCS) is an effective treatment in failed back surgery syndrome (FBSS). The effect of neuropathic pain medication use on SCS outcome is poorly understood.OBJECTIVE: To study the effect of gabapentinoid use on SCS outcome measured by trial success, explantation rate and opioid dose reduction during a 2-yr follow-up.METHODS: The study cohort included 203 consecutive FBSS patients who underwent SCS in a single tertiary center during January 1997 to March 2014. Purchase data of gabapentinoids, opioids, tricyclic antidepressants, serotonin and noradrenaline reuptake inhibitors, and benzodiazepines during January 1995 to March 2016 were retrieved from national registries.RESULTS: In multivariate Cox regression analysis, patients using gabapentinoids had significantly fewer explantations during the 2-yr follow-up (hazard ratio [HR] 0.2, 95% CI 0.04-0.81, P = .03). In contrast, patients with opioid use of >40 morphine milligram equivalent before implantation had significantly more explantations (HR 6.7, 95% CI 2.5-18, P < .01). In bivariate logistic regression analysis adjusted for patient specific factors, year of SCS implantation, use of neuropathic pain medication, opioids, and benzodiazepines, patients using gabapentinoids significantly more often discontinued opioids or reduced their dose by more than 50% during the 2-yr follow-up (odds ratio 5.7, 95% CI 1.4-23, P = .015).CONCLUSION: The use of gabapentinoids was associated with a significantly lower spinal cord stimulator explantation rate and a higher chance of opioid discontinuation or >50% dose reduction. This indicates that patients with SCS could benefit from concomitant use of gabapentinoids. Prospective randomized trials are warranted to verify this hypothesis.																		0148-396X	1524-4040		WOS:000700084500036	34270731	
J	Rattay, Frank; Tafvizi, Pegah								Blockage of pain by electrical spinal cord stimulation.								Minerva medica											10.23736/S0026-4806.21.07588-1				2021-Jul-16	2021	BACKGROUND: Electrical spinal cord stimulation (SCS) is an alternative to conventional medication for chronic pain relief. Several hypotheses exist concerning the neurophysiological, vascular, and neurochemical mechanism behind SCS.METHODS: The excitation and blockade effects of the three common SCS waveforms (tonic, burst, and high-frequency stimulation) on the nerve fibers bypassing the region of the electrodes are analyzed in a computational study. The simulations are based on the model of Hodgkin and Huxley which is fitted to spike durations of 1 ms.RESULTS AND CONCLUSIONS: SCS is FDA approved technique for pain relief but the mechanisms of action are still under investigation. The first element in the chain of mechanisms is the generation and the block of spikes in nerve fibers close to the stimulating electrode. For these 'primary fibers' computer simulations showed that conventional SCS generates sharply synchronized spikes whereas the spread of the spiking times by burst stimulation is expected to cause the suppression of paresthesia. This rather uniform spread of spiking times (in comparison to tonic stimulation) is a consequence of more pulses (5 vs. 1), longer pulses, and increasing intensities within each train of 5 pulses. High-frequency stimulation can block the conduction of spikes but the distance of the fiber to the lead is a critical factor.																			1827-1669		MEDLINE:34269551	34269551	
J	Knezevic, Nebojsa Nick; Candido, Kenneth D.; Vlaeyen, Johan W. S.; Van Zundert, Jan; Cohen, Steven P.								Low back pain								LANCET				398	10294			78	92		10.1016/S0140-6736(21)00733-9		JUL 2021		JUL 3 2021	2021	Low back pain covers a spectrum of different types of pain (eg, nociceptive, neuropathic and nociplastic, or non-specific) that frequently overlap. The elements comprising the lumbar spine (eg, soft tissue, vertebrae, zygapophyseal and sacroiliac joints, intervertebral discs, and neurovascular structures) are prone to different stressors, and each of these, alone or in combination, can contribute to low back pain. Due to numerous factors related to low back pain, and the low specificity of imaging and diagnostic injections, diagnostic methods for this condition continue to be a subject of controversy. The biopsychosocial model posits low back pain to be a dynamic interaction between social, psychological, and biological factors that can both predispose to and result from injury, and should be considered when devising interdisciplinary treatment plans. Prevention of low back pain is recognised as a pivotal challenge in high-risk populations to help tackle high health-care costs related to therapy and rehabilitation. To a large extent, therapy depends on pain classification, and usually starts with self-care and pharmacotherapy in combination with non-pharmacological methods, such as physical therapies and psychological treatments in appropriate patients. For refractory low back pain, a wide range of non-surgical (eg, epidural steroid injections and spinal cord stimulation for neuropathic pain, and radiofrequency ablation and intra-articular steroid injections for mechanical pain) and surgical (eg, decompression for neuropathic pain, disc replacement, and fusion for mechanical causes) treatment options are available in carefully selected patients. Most treatment options address only single, solitary causes and given the complex nature of low back pain, a multimodal interdisciplinary approach is necessary. Although globally recognised as an important health and socioeconomic challenge with an expected increase in prevalence, low back pain continues to have tremendous potential for improvement in both diagnostic and therapeutic aspects. Future research on low back pain should focus on improving the accuracy and objectivity of diagnostic assessments, and devising treatment algorithms that consider unique biological, psychological, and social factors. High-quality comparative-effectiveness and randomised controlled trials with longer follow-up periods that aim to establish the efficacy and cost-effectiveness of low back pain management are warranted.																		0140-6736	1474-547X		WOS:000668969500031	34115979	
J	Koenig, Christian; Vazquez, Enrique; Ess, Sabrina; Ebbinghaus, Matthias; Vorpahl, Bjoern; Ebersberger, Andrea; Schaible, Hans-Georg								Spinal interleukin-1 beta induces mechanical spinal hyperexcitability in rats: Interactions and redundancies with TNF and IL-6								JOURNAL OF NEUROCHEMISTRY				158	4			898	911		10.1111/jnc.15438		JUN 2021		AUG 2021	2021	Both spinal tumor necrosis factor (TNF) and interleukin-6 (IL-6) contribute to the development of "mechanical" spinal hyperexcitability in inflammatory pain states. Recently, we found that spinal sensitization by TNF was significantly reduced by blockade of spinal IL-6 signaling suggesting that IL-6 signaling is involved in spinal TNF effects. Here, we explored whether spinal interleukin-1 beta (IL-1 beta), also implicated in inflammatory pain, induces "mechanical" spinal hyperexcitability, and whether spinal IL-1 beta effects are related to TNF and IL-6 effects. We recorded the responses of spinal cord neurons to mechanical stimulation of the knee joint in vivo and used cellular approaches on microglial and astroglial cell lines to identify interactions of IL-1 beta, TNF, and IL-6. Spinal application of IL-1 beta in anesthetized rats modestly enhanced responses of spinal cord neurons to innocuous and noxious mechanical joint stimulation. This effect was blocked by minocycline indicating microglia involvement, and significantly attenuated by interfering with IL-6 signaling. In the BV2 microglial cell line, IL-1 beta, like TNF, enhanced the release of soluble IL-6 receptor, necessary for spinal IL-6 actions. Different to TNF, IL-1 beta caused SNB-19 astrocytes to release interleukin-11. The generation of "mechanical" spinal hyperexcitability by IL-1 beta was more pronounced upon spinal TNF neutralization with etanercept, suggesting that concomitant TNF limits IL-1 beta effects. In BV2 cells, TNF stimulated the release of IL-1Ra, an endogenous IL-1 beta antagonist. Thus, spinal IL-1 beta has the potential to induce spinal hyperexcitability sharing with TNF dependency on IL-6 signaling, but TNF also limited IL-1 beta effects explaining the modest effect of IL-1 beta.																		0022-3042	1471-4159		WOS:000667505600001	34050952	
J	Yu, Xiangmei; Chen, Xiaomei; Liu, Weiting; Jiang, Menghong; Wang, Zhifu; Tao, Jing								Proteomics Analysis of the Spinal Dorsal Horn in Diabetic Painful Neuropathy Rats With Electroacupuncture Treatment								FRONTIERS IN ENDOCRINOLOGY				12						608183	10.3389/fendo.2021.608183				JUN 10 2021	2021	Background Clinical evidence demonstrates that electro-acupuncture (EA) of the Zu sanli (ST36) and Shen shu (BL23) acupoints is effective in relieving diabetic painful neuropathy (DPN); however, the underlying molecular mechanism requires further investigation, including the protein molecules associated with EA's effects on DPN. Methods Sprague-Dawley adult male rats (n =36) were randomly assigned into control, DPN, and EA groups (n=12 each). After four weeks of EA treatment, response to mechanical pain and fasting blood glucose were analyzed. A tandem mass tag (TMT) labeling approach coupled with liquid chromatography with tandem mass spectrometry was used to identify potential biomarkers in the spinal dorsal horn. Further, proteomics analysis was used to quantify differentially expressed proteins (DEPs), and gene ontology, KEGG pathways, cluster, and string protein network interaction analyses conducted to explore the main protein targets of EA. Results Compared with the DPN model group, the mechanical pain threshold was significantly increased, while the fasting blood glucose levels were clearly decreased in EA group rats. Proteomics analysis was used to quantify 5393 proteins, and DEPs were chosen for further analyses, based on a threshold of 1.2-fold difference in expression level (P < 0.05) compared with control groups. Relative to the control group, 169 down-regulated and 474 up-regulated proteins were identified in the DPN group, while 107 and 328 proteins were up- and down-regulated in the EA treatment group compared with the DPN group. Bioinformatics analysis suggested that levels of proteins involved in oxidative stress injury regulation were dramatically altered during the EA effects on DPN. Conclusions Our results provide the valuable protein biomarkers, which facilitates unique mechanistic insights into the DPN pathogenesis and EA analgesic, antioxidant stress and hypoglycemic effect.																		1664-2392			WOS:000665186900001	34177794	
J	Solanes, Carmen; Dura, Jose L.; Angeles Canos, M.; De Andres, Jose; Marti-Bonmati, Luis; Saiz, Javier								3D patient-specific spinal cord computational model for SCS management: potential clinical applications								JOURNAL OF NEURAL ENGINEERING				18	3					036017	10.1088/1741-2552/abe44f				JUN 2021	2021	Objective. Although spinal cord stimulation (SCS) is an established therapy for treating neuropathic chronic pain, in tonic stimulation, postural changes, electrode migration or badly-positioned electrodes can produce annoying stimulation (intercostal neuralgia) in about 35% of the patients. SCS models are used to study the effect of electrical stimulation to better manage the stimulation parameters and electrode position. The goal of this work was to develop a realistic 3D patient-specific spinal cord model from a real patient and develop a future clinical application that would help physicians to optimize paresthesia coverage in SCS therapy. Approach. We developed two 3D patient-specific models from a high-resolution MRI of two patients undergoing SCS treatment. The model consisted of a finite element model of the spinal cord and a sensory myelinated nerve fiber model. The same simulations were performed with a generalized spinal cord model and we compared the results with the clinical data to evaluate the advantages of a patient-specific model. To identify the geometrical parameters that most influence the stimulation predictions, a sensitivity analysis was conducted. We used the patient-specific model to perform a clinical application involving the pre-implantation selection of electrode polarity and study the effect of electrode offset. Main results. The patient-specific model correlated better with clinical data than the generalized model. Electrode-dura mater distance, dorsal cerebrospinal fluid (CSF) thickness, and CSF diameter are the geometrical parameters that caused significant changes in the stimulation predictions. Electrode polarity could be planned and optimized to stimulate the patient's painful dermatomes. The addition of offset in parallel electrodes would not have been beneficial for one of the patients of this study because they reduce neural activation displacement. Significance. This is the first study to relate the activation area model prediction in dorsal columns with the clinical effect on paresthesia coverage. The outcomes show that 3D patient-specific models would help physicians to choose the best stimulation parameters to optimize neural activation and SCS therapy in tonic stimulation.																		1741-2560	1741-2552		WOS:000629554700001	33556926	
J	Adil, Syed M.; Charalambous, Lefko T.; Murphy, Kelly R.; Rahimpour, Shervin; Harward, Stephen C.; Draelos, Rachel; Yang, Zidanyue; Parente, Beth; Lee, Hui-Jie; Lad, Nandan P.								Deep Learning Versus Logistic Regression to Predict Opioid Dose Reduction After Spinal Cord Stimulation (vol 67, nyaa638, 2020)								NEUROSURGERY				88	5			1041	1041		10.1093/neuros/nyaa447_638				MAY 2021	2021																			0148-396X	1524-4040		WOS:000642441000059		
J	Zhang, Guanghao; Zhang, Cheng; Wu, Changzhe; Huo, Xiaolin								[Simulation study of spinal cord stimulation evoked compound action potential].								Sheng wu yi xue gong cheng xue za zhi = Journal of biomedical engineering = Shengwu yixue gongchengxue zazhi				38	2			232	240		10.7507/1001-5515.202007016				2021-Apr-25	2021	Spinal cord stimulation (SCS) for pain is usually implanted as an open loop system using unchanged parameters. To avoid the under and over stimulation caused by lead migration, evoked compound action potentials (ECAP) is used as feedback signal to change the stimulating parameters. This study established a simulation model of ECAP recording to investigate the relationship between ECAP component and dorsal column (DC) fiber recruitment. Finite element model of SCS and multi-compartment model of sensory fiber were coupled to calculate the single fiber action potential (SFAP) caused by single fiber in different spinal cord regions. The synthetized ECAP, superimposition of SFAP, could be considered as an index of DC fiber excitation degree, because the position of crests and amplitude of ECAP corresponds to different fiber diameters. When 10% or less DC fibers were excited, the crests corresponded to fibers with large diameters. When 20% or more DC fibers were excited, ECAP showed a slow conduction crest, which corresponded to fibers with small diameters. The amplitude of this slow conduction crest increased as the stimulating intensity increased while the amplitude of the fast conduction crest almost remained unchanged. Therefore, the simulated ECAP signal in this paper could be used to evaluate the degree of excitation of DC fibers. This SCS-ECAP model may provide theoretical basis for future clinical application of close loop SCS base on ECAP.脊髓电刺激（SCS）治疗慢性疼痛以一种开环的方式植入，植入后刺激参数一般保持不变。为了避免电极位置变化引起刺激强度不足或过度刺激，可以利用 SCS 电极记录的诱发复合动作电位（ECAP）作为反馈信号，来调整刺激参数。本文建立了 SCS 同步记录 ECAP 的仿真模型，并研究 ECAP 波形与脊髓背侧柱（DC）纤维兴奋程度之间的关系。通过 SCS 有限元仿真模型和感觉纤维多房室电缆模型的耦合计算 SCS 作用下由膜电流引起的单纤维动作电位（SFAP），将 SFAP 叠加获得电极上记录的差分形式的 ECAP 信号。仿真结果表明 ECAP 中不同的波谷对应着不同直径的感觉纤维，由波谷位置和幅值可以判断 DC 纤维兴奋程度。不超过 10% DC 纤维兴奋时的 ECAP 波谷对应着大直径感觉纤维，20% 及以上 DC 纤维兴奋时出现慢传导的波谷，对应着小直径感觉纤维，且 DC 纤维兴奋程度越高，波谷幅值越大，但大直径纤维对应的波谷幅值保持不变。本文建立的 SCS 同步采集 ECAP 仿真模型可以模拟 ECAP 信号并由波谷位置和幅度判断 DC 纤维兴奋程度，进而判定刺激强度过小、适当或过大，为基于 ECAP 的闭环 SCS 在未来的临床应用提供理论依据。.																		1001-5515			MEDLINE:33913282	33913282	
J	Li, Zhi-Xiao; Li, Yu-Juan; Wang, Qian; He, Zhi-Gang; Feng, Mao-Hui; Xiang, Hong-Bing								Characterization of novel lncRNAs in upper thoracic spinal cords of rats with myocardial ischemia-reperfusion injuries								EXPERIMENTAL AND THERAPEUTIC MEDICINE				21	4					352	10.3892/etm.2021.9783				APR 2021	2021	Myocardial ischemia-reperfusion injury (MIRI) is a significant problem in clinical cardiology, and refers to a more serious myocardial injury caused by blood recanalization after a period of myocardial ischemia, as compared with injury caused by vascular occlusion. The spinal cord, as the primary afferent and efferent center of cardiac sensory and sympathetic nerve fibres, has received increased attention in recent years with regards to the regulation of MIRIs. Previous studies have revealed that MIRI has a strong correlation with the abnormal expression of long non-coding (lnc)RNAs in the myocardium; however, there are limited reports on the effects of the altered expression of lncRNAs in the spinal cord following MIRI. To investigate the expression patterns of lncRNAs in the spinal cord after MIRI and their potential role in the early stage of reperfusion, a MIRI model was established in rats. After 30 min of myocardial ischemia and 2 h of reperfusion, the upper thoracic spinal cord tissues were immediately dissected and isolated. lncRNAs and mRNAs in spinal cord tissues were screened using transcriptome sequencing technology, and the expression of several highly deregulated mRNAs, including Frs3, Zfp52, Dnajc6, Nedd4l, Tep1, Myef2, Tgfbr1, Fgf12, Mef2c, Tfdp1 and lncRNA, including ENSRNOT00000080713, ENSRNOT00000090564, ENSRNOT00000082588, ENSRNOT00000091080, ENSRNOT00000091570, ENSRNOT00000087777, ENSRNOT00000082061, ENSRNOT00000091108, ENSRNOT00000087028, ENSRNOT00000086475, were further validated via reverse transcription-quantitative PCR. The number of altered expressed lncRNAs was 126, among which there were 41 upregulated probe sets and 85 downregulated sets. A total of 470 mRNAs were differentially expressed, in which 231 probe sets were upregulated and 239 were downregulated. Gene Ontology analysis indicated that dysregulated transcripts related to biological processes were mainly associated with 'cell-cell signaling'. Moreover, pathway analysis demonstrated significant changes in the 'PI3K/Akt signaling pathway' and the 'p53 signaling pathway'. Thus, the altered expression of lncRNAs in the spinal cord may be of considerable importance in the process of MIRI. The present results could provide an insight into the potential roles and mechanism of lncRNAs during the early stage of reperfusion.																		1792-0981	1792-1015		WOS:000621536700001	33732325	
S	De Ridder, Dirk; Vanneste, Sven						Langguth, B; Kleinjung, T; DeRidder, D; Schlee, W; Vanneste, S		The Bayesian brain in imbalance: Medial, lateral and descending pathways in tinnitus and pain: A perspective								TINNITUS - AN INTERDISCIPLINARY APPROACH TOWARDS INDIVIDUALIZED TREATMENT: TOWARDS UNDERSTANDING THE COMPLEXITY OF TINNITUS		Progress in Brain Research		262				309	334		10.1016/bs.pbr.2020.07.012				2021	2021	Tinnitus and pain share similarities in their anatomy, pathophysiology, clinical picture and treatments. Based on what is known in the pain field, a heuristic model can be proposed for the pathophysiolgy of tinnitus. This heuristic pathophysiological model suggests that pain and tinnitus are the consequence of an imbalance between two pain/tinnitus evoking pathways, i.e., a lateral sensory pathway and a medial affective pathway, both of which are not balanced anymore by a pain/noise inhibitory pathway. Mechanistically, based on the Bayesian brain concept, it can be explained by a switch occuring under influence of the rostral to dorsal anterior cingulate cortex of its prior predictions, i.e., a reference resetting, in which the pain/tinnitus state is considered as the new reference state. This reference resetting is confirmed by the nucleus accumbens as part of the reward system and maintained by connectivity changes between the nucleus accumbens and the pregenual anterior cingulate cortex. As a consequence it can be suggested to treat pain/tinnitus via reconditioning, either surgically or non-surgically. The model can also be used to develop objective measures for tinnitus and pain via supervised machine learning.																		0079-6123		978-0-12-822375-8	WOS:000752577900016	33931186	
C	Rogers, Evan R.; Zander, Hans J.; Lempka, Scott F.			IEEE					Influence of Morphology and Waveform Parameters on the Neural Response to Spinal Cord Stimulation								2021 10TH INTERNATIONAL IEEE/EMBS CONFERENCE ON NEURAL ENGINEERING (NER)		International IEEE EMBS Conference on Neural Engineering						259	262		10.1109/NER49283.2021.9441267				2021	2021	Spinal cord stimulation (SCS) is a neurostimulation treatment for patients suffering from refractory chronic pain. Thousands of SCS systems are implanted annually, yet its success rate remains suboptimal, largely because its therapeutic mechanisms of action are not well understood. The direct effects of SCS - i.e., which neuronal elements are activated directly by the electrical currents produced by SCS systems - remain unclear, precluding improvement. In this study, we used computational modeling to investigate which neuronal elements are activated directly by SCS, and how various physiological and technical factors influence the neural response. To simulate the neural response to SCS, we evaluated the SCS-produced voltage distributions using the finite element method and then applied these voltages to biophysical neuron models of local cells in the spinal cord's dorsal horn as well as primary afferent fibers. We performed this analysis for three common SCS paradigms - conventional (50 Hz), 10 kHz, and burst stimulation. Our results indicate that primary afferent fibers are recruited at lower stimulation amplitudes than local cells in the dorsal horn for all SCS paradigms. Furthermore, we observed that primary afferent collateralization patterns (i.e., number and spacing of collaterals) and medio-lateral electrode shift affected the neural response.					10th International IEEE-EMBS Conference on Neural Engineering (NER)10th International IEEE-EMBS Conference on Neural Engineering (NER)	MAY 04-06, 2021MAY 04-06, 2021	Medtronic; Blackrock Microsystems; IEEE Engn Med & Biol Soc; Inst Italiano Tecnologia; Biorobot Inst; Sant Anna Sch Adv Studies; Univ Houston, Cullen Coll Engn, Dept Biomed Engn; Wearable Robot; Frontiers Neuroscience; EPFL; Elsevier; CorTec; Abbott; Univ Pittsburgh; IEEE Transact Neural Syst & Rehabilitat Engn; IEEE Open Journal Engn Med & BiolMedtronic; Blackrock Microsystems; IEEE Engn Med & Biol Soc; Inst Italiano Tecnologia; Biorobot Inst; Sant Anna Sch Adv Studies; Univ Houston, Cullen Coll Engn, Dept Biomed Engn; Wearable Robot; Frontiers Neuroscience; EPFL; Elsevier; CorTec; Abbott; Univ Pittsburgh; IEEE Transact Neural Syst & Rehabilitat Engn; IEEE Open Journal Engn Med & Biol	Prague, ELECTR NETWORKPrague, ELECTR NETWORK										1948-3546		978-1-7281-4337-8	WOS:000681358200052		
J	Mirzakhalili, Ehsan; Barra, Beatrice; Capogrosso, Marco; Lempka, Scott F.								Biophysics of Temporal Interference Stimulation								CELL SYSTEMS				11	6			557	+		10.1016/j.cels.2020.10.004				DEC 16 2020	2020	Temporal interference (TI) is a non-invasive neurostimulation technique that utilizes high-frequency external electric fields to stimulate deep neuronal structures without affecting superficial, off-target structures. TI represents a potential breakthrough for treating conditions, such as Parkinson's disease and chronic pain. However, early clinical work on TI stimulation was met with mixed outcomes challenging its fundamental mechanisms and applications. Here, we apply established physics to study the mechanisms of TI with the goal of optimizing it for clinical use. We argue that TI stimulation cannot work via passive membrane filtering, as previously hypothesized. Instead, TI stimulation requires an ion-channel mediated signal rectification process. Unfortunately, this mechanism is also responsible for high-frequency conduction block in off-target tissues, thus challenging clinical applications of TI. In consequence, we propose a set of experimental controls that should be performed in future experiments to refine our understanding and practice of TI stimulation. A record of this paper's transparent peer review process is included in the Supplemental Information.																		2405-4712	2405-4720		WOS:000599906400004	33157010	
J	Ge, Yimeng; Ye, Shuan; Zhu, Kaihua; Guo, Tianruo; Su, Diansan; Zhang, Dingguo; Chen, Yao; Chai, Xinyu; Sui, Xiaohong								Mediating different-diameter A beta nerve fibers using a biomimetic 3D TENS computational model								JOURNAL OF NEUROSCIENCE METHODS				346						108891	10.1016/j.jneumeth.2020.108891				DEC 1 2020	2020	Background: Significant progress has been made over the last 50 years in the design, development and testing of transcutaneous electrical nerve stimulation (TENS) in mediating different levels of tactile sensations. However, without knowing how best to stimulate the nerve fibers, the elicited sensation quality will always remain poor and unnatural.New Method: A new biomimetic 3D TENS computational model is developed to quantify the neural activation mechanism with varied surface electrodes. This model includes seven-layered anatomical structure of the forearm and biophysically-detailed myelinated A beta fibers. The A beta-fiber diameters from 1.5 - 7.5 mu m were randomly distributed beneath the skin to mimic the physiologically-realistic fiber population. The arithmetic averaging algorithm and Gaussian filter were adopted to identify the sensation center and to quantify sensation intensities under different stimulation conditions.Results: Fibers larger than 4.5 mu m can usually be activated producing tactile sensations such as light touch, pressure, buzz, and vibration. While, fibers with diameters of 3.5 and 3 mu m can only be excited at uncomfortable numb and pain sensations. The resulted modelling predictions match the recent psychophysical experimental data.Comparison with Existing Method(s): The new TENS model is more physiologically-realistic by introducing a detailed morphological information and key ionic mechanisms in nerve fibers.Conclusions: Our results indicate that TENS may be a promising method to target functionally-distinct neural pathways in an effort to improve the elicited tactile sensations quality with electrical stimulation. This work provides a promising platform of discovering neural mechanisms under TENS.																		0165-0270	1872-678X		WOS:000580629300002	32798529	
